,root,word,ipa_root,ipa_word,diff,reg,IsInParent,verb class
916,fork,forked,fɔrk,fɔrkt,-t,Reg,No,-t
917,starve,starved,stɑrv,stɑrvd,-d,Reg,No,-d
918,head,headed,hɛd,hɛdɪd,-ɪd,Reg,No,-ɪd
919,form,formed,fɔrm,fɔrmd,-d,Reg,No,-d
920,offer,offered,ɔfər,ɔfərd,-d,Reg,Yes,-d
921,heal,healed,hil,hild,-d,Reg,No,-d
922,analyse,analysed,ænəlaɪz,ænəlaɪzd,-d,Reg,No,-d
923,discourage,discouraged,dɪskərɪʤ,dɪskərɪʤd,-d,Reg,Yes,-d
924,back,backed,bæk,bækt,-t,Reg,Yes,-t
925,heat,heated,hit,hitɪd,-ɪd,Reg,No,-ɪd
926,hear,heard,hir,hərd,i-əd,Irreg,Yes,vowel change + d
927,outnumber,outnumbered,aʊtnəmbər,aʊtnəmbərd,-d,Reg,No,-d
928,heap,heaped,hip,hipt,-t,Reg,No,-t
929,overburden,overburdened,oʊvərbərdən,oʊvərbərdənd,-d,Reg,No,-d
930,straggle,straggled,strægəl,strægəld,-d,Reg,No,-d
931,surrender,surrendered,sərɛndər,sərɛndərd,-d,Reg,No,-d
932,annotate,annotated,ænəteɪt,ænəteɪtɪd,-ɪd,Reg,Yes,-ɪd
933,humiliate,humiliated,hjumɪlieɪt,hjumɪlieɪtɪd,-ɪd,Reg,No,-ɪd
934,counsel,counselled,kaʊnsəl,kaʊnsəld,-d,Reg,No,-d
935,garnish,garnished,gɑrnɪʃ,gɑrnɪʃt,-t,Reg,No,-t
936,flavour,flavoured,fleɪvər,fleɪvərd,-d,Reg,No,-d
937,grace,graced,greɪs,greɪst,-t,Reg,No,-t
938,accost,accosted,əkɔst,əkɔstɪd,-ɪd,Reg,No,-ɪd
939,muster,mustered,mʌstər,mʌstərd,-d,Reg,No,-d
940,energize,energized,ɛnərʤaɪz,ɛnərʤaɪzd,-d,Reg,No,-d
941,bargain,bargained,bɑrgɪn,bɑrgɪnd,-d,Reg,No,-d
942,rack,racked,ræk,rækt,-t,Reg,No,-t
943,encumber,encumbered,ɛnkəmbər,ɛnkəmbərd,-d,Reg,No,-d
944,adore,adored,ədɔr,ədɔrd,-d,Reg,No,-d
945,decorate,decorated,dɛkəreɪt,dɛkəreɪtɪd,-ɪd,Reg,No,-ɪd
946,radicalize,radicalized,rædɪkəlaɪz,rædɪkəlaɪzd,-d,Reg,No,-d
947,scrabble,scrabbled,skræbəl,skræbəld,-d,Reg,No,-d
948,latch,latched,læʧ,læʧt,-t,Reg,No,-t
949,dare,dared,dɛr,dɛrd,-d,Reg,No,-d
950,emit,emitted,ɪmɪt,ɪmɪtɪd,-ɪd,Reg,No,-ɪd
951,adorn,adorned,ədɔrn,ədɔrnd,-d,Reg,No,-d
952,trim,trimmed,trɪm,trɪmd,-d,Reg,No,-d
953,disgrace,disgraced,dɪsgreɪs,dɪsgreɪst,-t,Reg,No,-t
954,sight,sighted,saɪt,saɪtɪd,-ɪd,Reg,No,-ɪd
955,toss,tossed,tɔs,tɔst,-t,Reg,No,-t
956,sidestep,sidestepped,saɪdstɛp,saɪdstɛpt,-t,Reg,No,-t
957,unnerve,unnerved,ənərv,ənərvd,-d,Reg,No,-d
958,ingest,ingested,ɪnʤɛst,ɪnʤɛstɪd,-ɪd,Reg,No,-ɪd
959,overhaul,overhauled,oʊvərhɔl,oʊvərhɔld,-d,Reg,No,-d
960,crumble,crumbled,krəmbəl,krəmbəld,-d,Reg,No,-d
961,soothe,soothed,suð,suðd,-d,Reg,No,-d
962,scrawl,scrawled,skrɔl,skrɔld,-d,Reg,No,-d
963,exist,existed,ɪgzɪst,ɪgzɪstɪd,-ɪd,Reg,No,-ɪd
964,revitalize,revitalized,rivaɪtəlaɪz,rivaɪtəlaɪzd,-d,Reg,No,-d
965,request,requested,rɪkwɛst,rɪkwɛstɪd,-ɪd,Reg,No,-ɪd
966,ship,shipped,ʃɪp,ʃɪpt,-t,Reg,No,-t
967,enlist,enlisted,ɛnlɪst,ɛnlɪstɪd,-ɪd,Reg,No,-ɪd
968,bore,bored,bɔr,bɔrd,-d,Reg,Yes,-d
969,shit,shit,ʃɪt,ʃɪt,None,Irreg,No,level
970,graft,grafted,græft,græftɪd,-ɪd,Reg,No,-ɪd
971,mutate,mutated,mjuteɪt,mjuteɪtɪd,-ɪd,Reg,No,-ɪd
972,audition,auditioned,ɑdɪʃən,ɑdɪʃənd,-d,Reg,No,-d
973,connive,connived,kənaɪv,kənaɪvd,-d,Reg,No,-d
974,pale,paled,peɪl,peɪld,-d,Reg,No,-d
975,stake,staked,steɪk,steɪkt,-t,Reg,No,-t
976,tip,tipped,tɪp,tɪpt,-t,Reg,Yes,-t
977,flood,flooded,flʌd,flʌdɪd,-ɪd,Reg,No,-ɪd
978,tin,tinned,tɪn,tɪnd,-d,Reg,No,-d
979,desecrate,desecrated,dɛzəkreɪt,dɛzəkreɪtɪd,-ɪd,Reg,No,-ɪd
980,congeal,congealed,kənʤil,kənʤild,-d,Reg,No,-d
981,whet,whetted,wɛt,wɛtɪd,-ɪd,Reg,No,-ɪd
982,test,tested,tɛst,tɛstɪd,-ɪd,Reg,No,-ɪd
983,tie,tied,taɪ,taɪd,-d,Reg,Yes,-d
984,implant,implanted,ɪmplænt,ɪmplæntɪd,-ɪd,Reg,No,-ɪd
985,frolic,frolicked,frɑlɪk,frɑlɪkt,-t,Reg,No,-t
986,scowl,scowled,skaʊl,skaʊld,-d,Reg,No,-d
987,bequeath,bequeathed,bɪkwiθ,bɪkwiθt,-t,Reg,No,-t
988,subsidize,subsidized,səbsɪdaɪz,səbsɪdaɪzd,-d,Reg,No,-d
989,intend,intended,ɪntɛnd,ɪntɛndɪd,-ɪd,Reg,No,-ɪd
990,sling,slung,slɪŋ,slʌŋ,ɪ-ʌ,Irreg,No,vowel change
991,sprawl,sprawled,sprɔl,sprɔld,-d,Reg,No,-d
992,handicap,handicapped,hændikæp,hændikæpt,-t,Reg,No,-t
993,liquidate,liquidated,lɪkwɪdeɪt,lɪkwɪdeɪtɪd,-ɪd,Reg,No,-ɪd
994,welcome,welcomed,wɛlkəm,wɛlkəmd,-d,Reg,No,-d
995,update,updated,əpdeɪt,əpdeɪtɪd,-ɪd,Reg,No,-ɪd
996,diet,dieted,daɪət,daɪətɪd,-ɪd,Reg,No,-ɪd
997,fell,felled,fɛl,fɛld,-d,Reg,No,-d
998,reign,reigned,reɪn,reɪnd,-d,Reg,No,-d
999,occasion,occasioned,əkeɪʒən,əkeɪʒənd,-d,Reg,No,-d
1000,censure,censured,sɛnʃər,sɛnʃərd,-d,Reg,No,-d
1001,discharge,discharged,dɪsʧɑrʤ,dɪsʧɑrʤd,-d,Reg,No,-d
1002,entrust,entrusted,ɛntrəst,ɛntrəstɪd,-ɪd,Reg,No,-ɪd
1003,derail,derailed,dɪreɪl,dɪreɪld,-d,Reg,No,-d
1004,lunge,lunged,lənʤ,lənʤd,-d,Reg,No,-d
1005,expropriate,expropriated,ɛksproʊprieɪt,ɛksproʊprieɪtɪd,-ɪd,Reg,No,-ɪd
1006,sock,socked,sɑk,sɑkt,-t,Reg,No,-t
1007,assume,assumed,əsum,əsumd,-d,Reg,No,-d
1008,urbanize,urbanized,ərbənaɪz,ərbənaɪzd,-d,Reg,No,-d
1009,withhold,withheld,wɪθhoʊld,wɪθhɛld,oʊ-ɛ,Irreg,No,vowel change
1010,collude,colluded,kəlud,kəludɪd,-ɪd,Reg,No,-ɪd
1011,rough,roughed,rəf,rəft,-t,Reg,No,-t
1012,gyrate,gyrated,ʤaɪreɪt,ʤaɪreɪtɪd,-ɪd,Reg,No,-ɪd
1013,time,timed,taɪm,taɪmd,-d,Reg,No,-d
1014,push,pushed,pʊʃ,pʊʃt,-t,Reg,Yes,-t
1015,fasten,fastened,fæsən,fæsənd,-d,Reg,Yes,-d
1016,meander,meandered,miændər,miændərd,-d,Reg,No,-d
1017,ferment,fermented,fərmɛnt,fərmɛntɪd,-ɪd,Reg,No,-ɪd
1018,decelerate,decelerated,dɪsɛləreɪt,dɪsɛləreɪtɪd,-ɪd,Reg,No,-ɪd
1019,slope,sloped,sloʊp,sloʊpt,-t,Reg,No,-t
1020,coach,coached,koʊʧ,koʊʧt,-t,Reg,No,-t
1021,revoke,revoked,rɪvoʊk,rɪvoʊkt,-t,Reg,No,-t
1022,doctor,doctored,dɔktər,dɔktərd,-d,Reg,No,-d
1023,chain,chained,ʧeɪn,ʧeɪnd,-d,Reg,No,-d
1024,trickle,trickled,trɪkəl,trɪkəld,-d,Reg,No,-d
1025,dance,danced,dæns,dænst,-t,Reg,Yes,-t
1026,skip,skipped,skɪp,skɪpt,-t,Reg,No,-t
1027,rob,robbed,rɑb,rɑbd,-d,Reg,No,-d
1028,relieve,relieved,rɪliv,rɪlivd,-d,Reg,No,-d
1029,peruse,perused,pəruz,pəruzd,-d,Reg,No,-d
1030,focus,focussed,foʊkɪs,foʊkɪst,-t,Reg,No,-t
1031,invent,invented,ɪnvɛnt,ɪnvɛntɪd,-ɪd,Reg,No,-ɪd
1032,obviate,obviated,ɑbvieɪt,ɑbvieɪtɪd,-ɪd,Reg,No,-ɪd
1033,snip,snipped,snɪp,snɪpt,-t,Reg,No,-t
1034,muss,mussed,mʌs,mʌst,-t,Reg,No,-t
1035,skim,skimmed,skɪm,skɪmd,-d,Reg,No,-d
1036,skin,skinned,skɪn,skɪnd,-d,Reg,No,-d
1037,battle,battled,bætəl,bætəld,-d,Reg,No,-d
1038,mill,milled,mɪl,mɪld,-d,Reg,No,-d
1039,rot,rotted,rɑt,rɑtɪd,-ɪd,Reg,No,-ɪd
1040,milk,milked,mɪlk,mɪlkt,-t,Reg,No,-t
1041,discern,discerned,dɪsərn,dɪsərnd,-d,Reg,No,-d
1042,cow,cowed,kaʊ,kaʊd,-d,Reg,No,-d
1043,vet,vetted,vɛt,vɛtɪd,-ɪd,Reg,No,-ɪd
1044,doom,doomed,dum,dumd,-d,Reg,No,-d
1045,puddle,puddled,pədəl,pədəld,-d,Reg,No,-d
1046,inoculate,inoculated,ɪnɑkjəleɪt,ɪnɑkjəleɪtɪd,-ɪd,Reg,No,-ɪd
1047,unpack,unpacked,ənpæk,ənpækt,-t,Reg,No,-t
1048,promote,promoted,prəmoʊt,prəmoʊtɪd,-ɪd,Reg,No,-ɪd
1049,flash,flashed,flæʃ,flæʃt,-t,Reg,No,-t
1050,father,fathered,fɑðər,fɑðərd,-d,Reg,No,-d
1051,vex,vexed,vɛks,vɛkst,-t,Reg,No,-t
1052,amaze,amazed,əmeɪz,əmeɪzd,-d,Reg,Yes,-d
1053,charge,charged,ʧɑrʤ,ʧɑrʤd,-d,Reg,No,-d
1054,compensate,compensated,kɑmpənseɪt,kɑmpənseɪtɪd,-ɪd,Reg,No,-ɪd
1055,swoop,swooped,swup,swupt,-t,Reg,No,-t
1056,ride,rode,raɪd,roʊd,aɪ-oʊ,Irreg,Yes,vowel change
1057,eliminate,eliminated,ɪlɪməneɪt,ɪlɪməneɪtɪd,-ɪd,Reg,No,-ɪd
1058,persevere,persevered,pərsəvɪr,pərsəvɪrd,-d,Reg,No,-d
1059,encircle,encircled,ɛnsərkəl,ɛnsərkəld,-d,Reg,No,-d
1060,shun,shunned,ʃən,ʃənd,-d,Reg,No,-d
1061,ferret,ferreted,fɛrət,fɛrətɪd,-ɪd,Reg,No,-ɪd
1062,string,strung,strɪŋ,strʌŋ,ɪ-ʌ,Irreg,No,vowel change
1063,jerk,jerked,ʤərk,ʤərkt,-t,Reg,No,-t
1064,underpay,underpaid,əndərpeɪ,əndərpeɪd,-d,Reg,No,-d
1065,incapacitate,incapacitated,ɪnkəpæsɪteɪt,ɪnkəpæsɪteɪtɪd,-ɪd,Reg,No,-ɪd
1066,nationalize,nationalized,næʃənəlaɪz,næʃənəlaɪzd,-d,Reg,No,-d
1067,embark,embarked,ɪmbɑrk,ɪmbɑrkt,-t,Reg,No,-t
1068,mourn,mourned,mɔrn,mɔrnd,-d,Reg,No,-d
1069,bustle,bustled,bʌsəl,bʌsəld,-d,Reg,No,-d
1070,masturbate,masturbated,mæstərbeɪt,mæstərbeɪtɪd,-ɪd,Reg,No,-ɪd
1071,waylay,waylaid,weɪleɪ,weɪleɪd,-d,Reg,No,-d
1072,cook,cooked,kʊk,kʊkt,-t,Reg,Yes,-t
1073,word,worded,wərd,wərdɪd,-ɪd,Reg,No,-ɪd
1074,trouble,troubled,trəbəl,trəbəld,-d,Reg,No,-d
1075,blast,blasted,blæst,blæstɪd,-ɪd,Reg,No,-ɪd
1076,exact,exacted,ɪgzækt,ɪgzæktɪd,-ɪd,Reg,No,-ɪd
1077,slake,slaked,sleɪk,sleɪkt,-t,Reg,No,-t
1078,cool,cooled,kul,kuld,-d,Reg,Yes,-d
1079,materialize,materialized,mətɪriəlaɪz,mətɪriəlaɪzd,-d,Reg,No,-d
1080,dim,dimmed,dɪm,dɪmd,-d,Reg,No,-d
1081,peg,pegged,pɛg,pɛgd,-d,Reg,No,-d
1082,level,levelled,lɛvəl,lɛvəld,-d,Reg,No,-d
1083,die,died,daɪ,daɪd,-d,Reg,Yes,-d
1084,economize,economized,ɪkɑnəmaɪz,ɪkɑnəmaɪzd,-d,Reg,No,-d
1085,dig,dug,dɪg,dʌg,ɪ-ʌ,Irreg,No,vowel change
1086,enthuse,enthused,ɪnθuz,ɪnθuzd,-d,Reg,No,-d
1087,gum,gummed,gəm,gəmd,-d,Reg,No,-d
1088,leave,left,liv,lɛft,iv-ɛft,Irreg,Yes,vowel change + t
1089,settle,settled,sɛtəl,sɛtəld,-d,Reg,Yes,-d
1090,grimace,grimaced,grɪməs,grɪməst,-t,Reg,No,-t
1091,gut,gutted,gʌt,gʌtɪd,-ɪd,Reg,No,-ɪd
1092,lever,levered,lɛvər,lɛvərd,-d,Reg,No,-d
1093,disqualify,disqualified,dɪskwɑləfaɪ,dɪskwɑləfaɪd,-d,Reg,No,-d
1094,dip,dipped,dɪp,dɪpt,-t,Reg,No,-t
1095,blur,blurred,blər,blərd,-d,Reg,No,-d
1096,adduce,adduced,ædus,ædust,-t,Reg,No,-t
1097,shave,shaved,ʃeɪv,ʃeɪvd,-d,Reg,Yes,-d
1098,prevent,prevented,prɪvɛnt,prɪvɛntɪd,-ɪd,Reg,No,-ɪd
1099,brave,braved,breɪv,breɪvd,-d,Reg,No,-d
1100,regret,regretted,rɪgrɛt,rɪgrɛtɪd,-ɪd,Reg,No,-ɪd
1101,misjudge,misjudged,mɪsʤəʤ,mɪsʤəʤd,-d,Reg,No,-d
1102,sigh,sighed,saɪ,saɪd,-d,Reg,No,-d
1103,sidetrack,sidetracked,saɪdtræk,saɪdtrækt,-t,Reg,No,-t
1104,discover,discovered,dɪskəvər,dɪskəvərd,-d,Reg,Yes,-d
1105,agitate,agitated,æʤəteɪt,æʤəteɪtɪd,-ɪd,Reg,No,-ɪd
1106,sign,signed,saɪn,saɪnd,-d,Reg,Yes,-d
1107,cost,cost,kɔst,kɔst,None,Irreg,No,level
1108,stupefy,stupefied,stupɪfaɪ,stupɪfaɪd,-d,Reg,No,-d
1109,subsist,subsisted,səbsɪst,səbsɪstɪd,-ɪd,Reg,No,-ɪd
1110,bake,baked,beɪk,beɪkt,-t,Reg,Yes,-t
1111,molest,molested,məlɛst,məlɛstɪd,-ɪd,Reg,No,-ɪd
1112,substitute,substituted,səbstətut,səbstətutɪd,-ɪd,Reg,No,-ɪd
1113,educate,educated,ɛʤəkeɪt,ɛʤəkeɪtɪd,-ɪd,Reg,No,-ɪd
1114,appear,appeared,əpɪr,əpɪrd,-d,Reg,No,-d
1115,convulse,convulsed,kənvəls,kənvəlst,-t,Reg,No,-t
1116,abdicate,abdicated,æbdəkeɪt,æbdəkeɪtɪd,-ɪd,Reg,No,-ɪd
1117,favour,favoured,feɪvər,feɪvərd,-d,Reg,No,-d
1118,melt,melted,mɛlt,mɛltɪd,-ɪd,Reg,Yes,-ɪd
1119,wriggle,wriggled,rɪgəl,rɪgəld,-d,Reg,No,-d
1120,reunite,reunited,riunaɪt,riunaɪtɪd,-ɪd,Reg,No,-ɪd
1121,reply,replied,rɪplaɪ,rɪplaɪd,-d,Reg,No,-d
1122,appeal,appealed,əpil,əpild,-d,Reg,No,-d
1123,boost,boosted,bust,bustɪd,-ɪd,Reg,No,-ɪd
1124,satisfy,satisfied,sætɪsfaɪ,sætɪsfaɪd,-d,Reg,No,-d
1125,slot,slotted,slɑt,slɑtɪd,-ɪd,Reg,No,-ɪd
1126,dwarf,dwarfed,dwɔrf,dwɔrft,-t,Reg,No,-t
1127,wail,wailed,weɪl,weɪld,-d,Reg,Yes,-d
1128,honour,honoured,ɑnər,ɑnərd,-d,Reg,No,-d
1129,clerk,clerked,klərk,klərkt,-t,Reg,No,-t
1130,disillusion,disillusioned,dɪsɪluʒən,dɪsɪluʒənd,-d,Reg,No,-d
1131,blackmail,blackmailed,blækmeɪl,blækmeɪld,-d,Reg,No,-d
1132,water,watered,wɔtər,wɔtərd,-d,Reg,Yes,-d
1133,contemplate,contemplated,kɑntəmpleɪt,kɑntəmpleɪtɪd,-ɪd,Reg,No,-ɪd
1134,entertain,entertained,ɛntərteɪn,ɛntərteɪnd,-d,Reg,No,-d
1135,splice,spliced,splaɪs,splaɪst,-t,Reg,No,-t
1136,address,addressed,ədrɛs,ədrɛst,-t,Reg,No,-t
1137,decipher,deciphered,dɪsaɪfər,dɪsaɪfərd,-d,Reg,No,-d
1138,gorge,gorged,gɔrʤ,gɔrʤd,-d,Reg,No,-d
1139,oversimplify,oversimplified,oʊvərsɪmplɪfaɪ,oʊvərsɪmplɪfaɪd,-d,Reg,No,-d
1140,change,changed,ʧeɪnʤ,ʧeɪnʤd,-d,Reg,Yes,-d
1141,wait,waited,weɪt,weɪtɪd,-ɪd,Reg,Yes,-ɪd
1142,box,boxed,bɑks,bɑkst,-t,Reg,No,-t
1143,buck,bucked,bʌk,bʌkt,-t,Reg,No,-t
1144,theorize,theorized,θiəraɪz,θiəraɪzd,-d,Reg,No,-d
1145,shove,shoved,ʃʌv,ʃʌvd,-d,Reg,No,-d
1146,institute,instituted,ɪnstɪtut,ɪnstɪtutɪd,-ɪd,Reg,No,-ɪd
1147,shift,shifted,ʃɪft,ʃɪftɪd,-ɪd,Reg,No,-ɪd
1148,rethink,rethought,riθɪŋk,riθɔt,ɪŋk-ɔt,Irreg,No,ruckumlaut
1149,queue,queued,kju,kjud,-d,Reg,No,-d
1150,boo,booed,bu,bud,-d,Reg,No,-d
1151,stencil,stencilled,stɛnsɪl,stɛnsɪld,-d,Reg,No,-d
1152,bob,bobbed,bɑb,bɑbd,-d,Reg,No,-d
1153,outflank,outflanked,aʊtflæŋk,aʊtflæŋkt,-t,Reg,No,-t
1154,reclaim,reclaimed,rikleɪm,rikleɪmd,-d,Reg,No,-d
1155,burp,burped,bərp,bərpt,-t,Reg,Yes,-t
1156,emerge,emerged,imərʤ,imərʤd,-d,Reg,No,-d
1157,love,loved,lʌv,lʌvd,-d,Reg,Yes,-d
1158,humour,humoured,hjumər,hjumərd,-d,Reg,No,-d
1159,tweak,tweaked,twik,twikt,-t,Reg,No,-t
1160,prefer,preferred,prɪfər,prɪfərd,-d,Reg,No,-d
1161,wreak,wreaked,rik,rikt,-t,Reg,No,-t
1162,abash,abashed,əbæʃ,əbæʃt,-t,Reg,No,-t
1163,beget,begot,bɪgɛt,bɪgɑt,ɛ-ɑ,Irreg,No,vowel change
1164,fake,faked,feɪk,feɪkt,-t,Reg,No,-t
1165,surmount,surmounted,sərmaʊnt,sərmaʊntɪd,-ɪd,Reg,No,-ɪd
1166,ossify,ossified,ɑsəfaɪ,ɑsəfaɪd,-d,Reg,No,-d
1167,peep,peeped,pip,pipt,-t,Reg,No,-t
1168,market,marketed,mɑrkɪt,mɑrkɪtɪd,-ɪd,Reg,No,-ɪd
1169,transplant,transplanted,trænsplænt,trænsplæntɪd,-ɪd,Reg,No,-ɪd
1170,reminisce,reminisced,rɛmənɪs,rɛmənɪst,-t,Reg,No,-t
1171,miscarry,miscarried,mɪskɛrɪ,mɪskɛrɪd,-d,Reg,No,-d
1172,concoct,concocted,kənkɑkt,kənkɑktɪd,-ɪd,Reg,No,-ɪd
1173,prove,proved,pruv,pruvd,-d,Reg,No,-d
1174,subvert,subverted,səbvərt,səbvərtɪd,-ɪd,Reg,No,-ɪd
1175,captivate,captivated,kæptɪveɪt,kæptɪveɪtɪd,-ɪd,Reg,No,-ɪd
1176,dangle,dangled,dæŋgəl,dæŋgəld,-d,Reg,No,-d
1177,visit,visited,vɪzɪt,vɪzɪtɪd,-ɪd,Reg,Yes,-ɪd
1178,ravage,ravaged,rævɪʤ,rævɪʤd,-d,Reg,No,-d
1179,redeploy,redeployed,ridɪplɔɪ,ridɪplɔɪd,-d,Reg,No,-d
1180,coalesce,coalesced,koʊəlɛs,koʊəlɛst,-t,Reg,No,-t
1181,slog,slogged,slɑg,slɑgd,-d,Reg,No,-d
1182,prey,preyed,preɪ,preɪd,-d,Reg,No,-d
1183,keen,keened,kin,kind,-d,Reg,No,-d
1184,disembowel,disembowelled,dɪsɛmbaʊl,dɪsɛmbaʊld,-d,Reg,No,-d
1185,sharpen,sharpened,ʃɑrpən,ʃɑrpənd,-d,Reg,No,-d
1186,encroach,encroached,ɪnkroʊʧ,ɪnkroʊʧt,-t,Reg,No,-t
1187,stomach,stomached,stəmək,stəməkt,-t,Reg,No,-t
1188,dismay,dismayed,dɪsmeɪ,dɪsmeɪd,-d,Reg,No,-d
1189,cremate,cremated,krimeɪt,krimeɪtɪd,-ɪd,Reg,No,-ɪd
1190,riot,rioted,raɪət,raɪətɪd,-ɪd,Reg,No,-ɪd
1191,afford,afforded,əfɔrd,əfɔrdɪd,-ɪd,Reg,No,-ɪd
1192,muffle,muffled,mʌfəl,mʌfəld,-d,Reg,No,-d
1193,partake,partook,pɑrteɪk,pɑrtʊk,eɪ-ʊ,Irreg,No,vowel change
1194,refrain,refrained,rɪfreɪn,rɪfreɪnd,-d,Reg,No,-d
1195,deign,deigned,deɪn,deɪnd,-d,Reg,No,-d
1196,drown,drowned,draʊn,draʊnd,-d,Reg,Yes,-d
1197,degrade,degraded,dɪgreɪd,dɪgreɪdɪd,-ɪd,Reg,No,-ɪd
1198,crimp,crimped,krɪmp,krɪmpt,-t,Reg,No,-t
1199,fly,flew,flaɪ,flu,aɪ-u,Irreg,Yes,vowel change
1200,demolish,demolished,dɪmɑlɪʃ,dɪmɑlɪʃt,-t,Reg,No,-t
1201,jab,jabbed,ʤæb,ʤæbd,-d,Reg,No,-d
1202,pretend,pretended,pritɛnd,pritɛndɪd,-ɪd,Reg,Yes,-ɪd
1203,chastise,chastised,ʧæstaɪz,ʧæstaɪzd,-d,Reg,No,-d
1204,array,arrayed,əreɪ,əreɪd,-d,Reg,No,-d
1205,purge,purged,pərʤ,pərʤd,-d,Reg,No,-d
1206,coexist,coexisted,koʊəgzɪst,koʊəgzɪstɪd,-ɪd,Reg,No,-ɪd
1207,sour,soured,saʊər,saʊərd,-d,Reg,No,-d
1208,hope,hoped,hoʊp,hoʊpt,-t,Reg,No,-t
1209,dispossess,dispossessed,dɪspəzɛs,dɪspəzɛst,-t,Reg,No,-t
1210,ferry,ferried,fɛri,fɛrid,-d,Reg,No,-d
1211,arrive,arrived,əraɪv,əraɪvd,-d,Reg,Yes,-d
1212,pickle,pickled,pɪkəl,pɪkəld,-d,Reg,No,-d
1213,streak,streaked,strik,strikt,-t,Reg,No,-t
1214,claim,claimed,kleɪm,kleɪmd,-d,Reg,No,-d
1215,sandbag,sandbagged,sændbæg,sændbægd,-d,Reg,No,-d
1216,immortalize,immortalized,ɪmɔrtəlaɪz,ɪmɔrtəlaɪzd,-d,Reg,No,-d
1217,figure,figured,fɪgjər,fɪgjərd,-d,Reg,Yes,-d
1218,gratify,gratified,grætəfaɪ,grætəfaɪd,-d,Reg,No,-d
1219,predict,predicted,prɪdɪkt,prɪdɪktɪd,-ɪd,Reg,No,-ɪd
1220,chip,chipped,ʧɪp,ʧɪpt,-t,Reg,No,-t
1221,arise,arose,əraɪz,əroʊz,aɪ-oʊ,Irreg,No,vowel change
1222,fuck,fucked,fʌk,fʌkt,-t,Reg,No,-t
1223,sample,sampled,sæmpəl,sæmpəld,-d,Reg,No,-d
1224,stroke,stroked,stroʊk,stroʊkt,-t,Reg,No,-t
1225,abort,aborted,əbɔrt,əbɔrtɪd,-ɪd,Reg,No,-ɪd
1226,refine,refined,rɪfaɪn,rɪfaɪnd,-d,Reg,No,-d
1227,phrase,phrased,freɪz,freɪzd,-d,Reg,No,-d
1228,topple,toppled,tɑpəl,tɑpəld,-d,Reg,No,-d
1229,provoke,provoked,prəvoʊk,prəvoʊkt,-t,Reg,No,-t
1230,occur,occurred,əkər,əkərd,-d,Reg,No,-d
1231,craze,crazed,kreɪz,kreɪzd,-d,Reg,No,-d
1232,purr,purred,pər,pərd,-d,Reg,No,-d
1233,traipse,traipsed,treɪps,treɪpst,-t,Reg,No,-t
1234,bankrupt,bankrupted,bæŋkrəpt,bæŋkrəptɪd,-ɪd,Reg,No,-ɪd
1235,tilt,tilted,tɪlt,tɪltɪd,-ɪd,Reg,No,-ɪd
1236,decolonize,decolonized,dikɑlənaɪz,dikɑlənaɪzd,-d,Reg,No,-d
1237,ping,pinged,pɪŋ,pɪŋd,-d,Reg,No,-d
1238,parch,parched,pɑrʧ,pɑrʧt,-t,Reg,No,-t
1239,reside,resided,rɪzaɪd,rɪzaɪdɪd,-ɪd,Reg,No,-ɪd
1240,write,wrote,raɪt,roʊt,aɪ-oʊ,Irreg,Yes,vowel change
1241,flank,flanked,flæŋk,flæŋkt,-t,Reg,No,-t
1242,query,queried,kwiri,kwirid,-d,Reg,No,-d
1243,affix,affixed,æfɪks,æfɪkst,-t,Reg,No,-t
1244,tile,tiled,taɪl,taɪld,-d,Reg,No,-d
1245,loathe,loathed,loʊð,loʊðd,-d,Reg,No,-d
1246,stomp,stomped,stɑmp,stɑmpt,-t,Reg,No,-t
1247,deteriorate,deteriorated,dɪtɪriəreɪt,dɪtɪriəreɪtɪd,-ɪd,Reg,No,-ɪd
1248,map,mapped,mæp,mæpt,-t,Reg,No,-t
1249,levy,levied,lɛvi,lɛvid,-d,Reg,No,-d
1250,mar,marred,mɑr,mɑrd,-d,Reg,No,-d
1251,mat,matted,mæt,mætɪd,-ɪd,Reg,No,-ɪd
1252,hog,hogged,hɑg,hɑgd,-d,Reg,No,-d
1253,escalate,escalated,ɛskəleɪt,ɛskəleɪtɪd,-ɪd,Reg,No,-ɪd
1254,dive,dove,daɪv,doʊv,aɪ-oʊ,Irreg,No,vowel change
1255,spot,spotted,spɑt,spɑtɪd,-ɪd,Reg,No,-ɪd
1256,bawl,bawled,bɔl,bɔld,-d,Reg,Yes,-d
1257,rehabilitate,rehabilitated,riəbɪləteɪt,riəbɪləteɪtɪd,-ɪd,Reg,No,-ɪd
1258,pave,paved,peɪv,peɪvd,-d,Reg,No,-d
1259,methylate,methylated,mɛθɪleɪt,mɛθɪleɪtɪd,-ɪd,Reg,No,-ɪd
1260,restate,restated,risteɪt,risteɪtɪd,-ɪd,Reg,No,-ɪd
1261,date,dated,deɪt,deɪtɪd,-ɪd,Reg,No,-ɪd
1262,play-act,play-acted,pleɪækt,pleɪæktɪd,-ɪd,Reg,No,-ɪd
1263,suck,sucked,sʌk,sʌkt,-t,Reg,Yes,-t
1264,flourish,flourished,flərɪʃ,flərɪʃt,-t,Reg,No,-t
1265,grow,grew,groʊ,gru,oʊ-u,Irreg,Yes,vowel change
1266,man,manned,mæn,mænd,-d,Reg,No,-d
