,root,word,ipa_root,ipa_word,diff,reg,IsInParent,verb class,freq
1009,withhold,withheld,wɪθhoʊld,wɪθhɛld,oʊ-ɛ,Irreg,No,vowel change,9.0
1010,collude,colluded,kəlud,kəludɪd,-ɪd,Reg,No,-ɪd,1.0
1011,rough,roughed,rəf,rəft,-t,Reg,No,-t,1.0
1012,gyrate,gyrated,ʤaɪreɪt,ʤaɪreɪtɪd,-ɪd,Reg,No,-ɪd,1.0
1013,time,timed,taɪm,taɪmd,-d,Reg,No,-d,14.0
1014,push,pushed,pʊʃ,pʊʃt,-t,Reg,Yes,-t,217.0
1015,fasten,fastened,fæsən,fæsənd,-d,Reg,Yes,-d,21.0
1016,meander,meandered,miændər,miændərd,-d,Reg,No,-d,2.0
1017,ferment,fermented,fərmɛnt,fərmɛntɪd,-ɪd,Reg,No,-ɪd,2.0
1018,decelerate,decelerated,dɪsɛləreɪt,dɪsɛləreɪtɪd,-ɪd,Reg,No,-ɪd,1.0
1019,slope,sloped,sloʊp,sloʊpt,-t,Reg,No,-t,5.0
1021,revoke,revoked,rɪvoʊk,rɪvoʊkt,-t,Reg,No,-t,3.0
1022,doctor,doctored,dɔktər,dɔktərd,-d,Reg,No,-d,3.0
1023,chain,chained,ʧeɪn,ʧeɪnd,-d,Reg,No,-d,20.0
1024,trickle,trickled,trɪkəl,trɪkəld,-d,Reg,No,-d,9.0
1025,dance,danced,dæns,dænst,-t,Reg,Yes,-t,52.0
1026,skip,skipped,skɪp,skɪpt,-t,Reg,No,-t,10.0
1027,rob,robbed,rɑb,rɑbd,-d,Reg,No,-d,21.0
1028,relieve,relieved,rɪliv,rɪlivd,-d,Reg,No,-d,35.0
1029,peruse,perused,pəruz,pəruzd,-d,Reg,No,-d,1.0
1030,focus,focussed,foʊkɪs,foʊkɪst,-t,Reg,No,-t,43.0
1031,invent,invented,ɪnvɛnt,ɪnvɛntɪd,-ɪd,Reg,No,-ɪd,79.0
1032,obviate,obviated,ɑbvieɪt,ɑbvieɪtɪd,-ɪd,Reg,No,-ɪd,1.0
1033,snip,snipped,snɪp,snɪpt,-t,Reg,No,-t,2.0
1034,muss,mussed,mʌs,mʌst,-t,Reg,No,-t,2.0
1035,skim,skimmed,skɪm,skɪmd,-d,Reg,No,-d,11.0
1036,skin,skinned,skɪn,skɪnd,-d,Reg,No,-d,8.0
1037,battle,battled,bætəl,bætəld,-d,Reg,No,-d,6.0
1038,mill,milled,mɪl,mɪld,-d,Reg,No,-d,4.0
1039,rot,rotted,rɑt,rɑtɪd,-ɪd,Reg,No,-ɪd,5.0
1040,milk,milked,mɪlk,mɪlkt,-t,Reg,No,-t,5.0
1041,discern,discerned,dɪsərn,dɪsərnd,-d,Reg,No,-d,5.0
1042,cow,cowed,kaʊ,kaʊd,-d,Reg,No,-d,4.0
1043,vet,vetted,vɛt,vɛtɪd,-ɪd,Reg,No,-ɪd,3.0
1044,doom,doomed,dum,dumd,-d,Reg,No,-d,37.0
1045,puddle,puddled,pədəl,pədəld,-d,Reg,No,-d,1.0
1046,inoculate,inoculated,ɪnɑkjəleɪt,ɪnɑkjəleɪtɪd,-ɪd,Reg,No,-ɪd,2.0
1047,unpack,unpacked,ənpæk,ənpækt,-t,Reg,No,-t,7.0
1048,promote,promoted,prəmoʊt,prəmoʊtɪd,-ɪd,Reg,No,-ɪd,29.0
1049,flash,flashed,flæʃ,flæʃt,-t,Reg,No,-t,45.0
1050,father,fathered,fɑðər,fɑðərd,-d,Reg,No,-d,3.0
1051,vex,vexed,vɛks,vɛkst,-t,Reg,No,-t,4.0
1052,amaze,amazed,əmeɪz,əmeɪzd,-d,Reg,Yes,-d,55.0
1053,charge,charged,ʧɑrʤ,ʧɑrʤd,-d,Reg,No,-d,98.0
1054,compensate,compensated,kɑmpənseɪt,kɑmpənseɪtɪd,-ɪd,Reg,No,-ɪd,11.0
1055,swoop,swooped,swup,swupt,-t,Reg,No,-t,8.0
1056,ride,rode,raɪd,roʊd,aɪ-oʊ,Irreg,Yes,vowel change,70.0
1057,eliminate,eliminated,ɪlɪməneɪt,ɪlɪməneɪtɪd,-ɪd,Reg,No,-ɪd,39.0
1058,persevere,persevered,pərsəvɪr,pərsəvɪrd,-d,Reg,No,-d,4.0
1059,encircle,encircled,ɛnsərkəl,ɛnsərkəld,-d,Reg,No,-d,8.0
1060,shun,shunned,ʃən,ʃənd,-d,Reg,No,-d,6.0
1061,ferret,ferreted,fɛrət,fɛrətɪd,-ɪd,Reg,No,-ɪd,1.0
1062,string,strung,strɪŋ,strʌŋ,ɪ-ʌ,Irreg,No,vowel change,14.0
1063,jerk,jerked,ʤərk,ʤərkt,-t,Reg,No,-t,30.0
1064,underpay,underpaid,əndərpeɪ,əndərpeɪd,-d,Reg,No,-d,5.0
1065,incapacitate,incapacitated,ɪnkəpæsɪteɪt,ɪnkəpæsɪteɪtɪd,-ɪd,Reg,No,-ɪd,4.0
1066,nationalize,nationalized,næʃənəlaɪz,næʃənəlaɪzd,-d,Reg,No,-d,34.0
1067,embark,embarked,ɪmbɑrk,ɪmbɑrkt,-t,Reg,No,-t,20.0
1068,mourn,mourned,mɔrn,mɔrnd,-d,Reg,No,-d,9.0
1069,bustle,bustled,bʌsəl,bʌsəld,-d,Reg,No,-d,6.0
1070,masturbate,masturbated,mæstərbeɪt,mæstərbeɪtɪd,-ɪd,Reg,No,-ɪd,3.0
1071,waylay,waylaid,weɪleɪ,weɪleɪd,-d,Reg,No,-d,1.0
1072,cook,cooked,kʊk,kʊkt,-t,Reg,Yes,-t,92.0
1073,word,worded,wərd,wərdɪd,-ɪd,Reg,No,-ɪd,7.0
1074,trouble,troubled,trəbəl,trəbəld,-d,Reg,No,-d,66.0
1076,exact,exacted,ɪgzækt,ɪgzæktɪd,-ɪd,Reg,No,-ɪd,3.0
1078,cool,cooled,kul,kuld,-d,Reg,Yes,-d,17.0
1079,materialize,materialized,mətɪriəlaɪz,mətɪriəlaɪzd,-d,Reg,No,-d,10.0
1080,dim,dimmed,dɪm,dɪmd,-d,Reg,No,-d,7.0
1081,peg,pegged,pɛg,pɛgd,-d,Reg,No,-d,5.0
1082,level,levelled,lɛvəl,lɛvəld,-d,Reg,No,-d,16.0
1083,die,died,daɪ,daɪd,-d,Reg,Yes,-d,451.0
1084,economize,economized,ɪkɑnəmaɪz,ɪkɑnəmaɪzd,-d,Reg,No,-d,1.0
1085,dig,dug,dɪg,dʌg,ɪ-ʌ,Irreg,No,vowel change,54.0
1086,enthuse,enthused,ɪnθuz,ɪnθuzd,-d,Reg,No,-d,1.0
1087,gum,gummed,gəm,gəmd,-d,Reg,No,-d,5.0
1088,leave,left,liv,lɛft,iv-ɛft,Irreg,Yes,vowel change + t,1503.0
1089,settle,settled,sɛtəl,sɛtəld,-d,Reg,Yes,-d,140.0
1090,grimace,grimaced,grɪməs,grɪməst,-t,Reg,No,-t,9.0
1091,gut,gutted,gʌt,gʌtɪd,-ɪd,Reg,No,-ɪd,9.0
1092,lever,levered,lɛvər,lɛvərd,-d,Reg,No,-d,2.0
1093,disqualify,disqualified,dɪskwɑləfaɪ,dɪskwɑləfaɪd,-d,Reg,No,-d,5.0
1094,dip,dipped,dɪp,dɪpt,-t,Reg,No,-t,22.0
1095,blur,blurred,blər,blərd,-d,Reg,No,-d,28.0
1096,adduce,adduced,ædus,ædust,-t,Reg,No,-t,2.0
1097,shave,shaved,ʃeɪv,ʃeɪvd,-d,Reg,Yes,-d,22.0
1098,prevent,prevented,prɪvɛnt,prɪvɛntɪd,-ɪd,Reg,No,-ɪd,74.0
1099,brave,braved,breɪv,breɪvd,-d,Reg,No,-d,2.0
1100,regret,regretted,rɪgrɛt,rɪgrɛtɪd,-ɪd,Reg,No,-ɪd,26.0
1101,misjudge,misjudged,mɪsʤəʤ,mɪsʤəʤd,-d,Reg,No,-d,5.0
1102,sigh,sighed,saɪ,saɪd,-d,Reg,No,-d,90.0
1103,sidetrack,sidetracked,saɪdtræk,saɪdtrækt,-t,Reg,No,-t,2.0
1104,discover,discovered,dɪskəvər,dɪskəvərd,-d,Reg,Yes,-d,293.0
1105,agitate,agitated,æʤəteɪt,æʤəteɪtɪd,-ɪd,Reg,No,-ɪd,2.0
1106,sign,signed,saɪn,saɪnd,-d,Reg,Yes,-d,99.0
1108,stupefy,stupefied,stupɪfaɪ,stupɪfaɪd,-d,Reg,No,-d,4.0
1109,subsist,subsisted,səbsɪst,səbsɪstɪd,-ɪd,Reg,No,-ɪd,1.0
1110,bake,baked,beɪk,beɪkt,-t,Reg,Yes,-t,40.0
1111,molest,molested,məlɛst,məlɛstɪd,-ɪd,Reg,No,-ɪd,4.0
1112,substitute,substituted,səbstətut,səbstətutɪd,-ɪd,Reg,No,-ɪd,12.0
1113,educate,educated,ɛʤəkeɪt,ɛʤəkeɪtɪd,-ɪd,Reg,No,-ɪd,32.0
1114,appear,appeared,əpɪr,əpɪrd,-d,Reg,No,-d,440.0
1115,convulse,convulsed,kənvəls,kənvəlst,-t,Reg,No,-t,3.0
1116,abdicate,abdicated,æbdəkeɪt,æbdəkeɪtɪd,-ɪd,Reg,No,-ɪd,3.0
1117,favour,favoured,feɪvər,feɪvərd,-d,Reg,No,-d,36.0
1118,melt,melted,mɛlt,mɛltɪd,-ɪd,Reg,Yes,-ɪd,33.0
1119,wriggle,wriggled,rɪgəl,rɪgəld,-d,Reg,No,-d,11.0
1120,reunite,reunited,riunaɪt,riunaɪtɪd,-ɪd,Reg,No,-ɪd,6.0
1121,reply,replied,rɪplaɪ,rɪplaɪd,-d,Reg,No,-d,232.0
1122,appeal,appealed,əpil,əpild,-d,Reg,No,-d,33.0
1123,boost,boosted,bust,bustɪd,-ɪd,Reg,No,-ɪd,8.0
1124,satisfy,satisfied,sætɪsfaɪ,sætɪsfaɪd,-d,Reg,No,-d,120.0
1125,slot,slotted,slɑt,slɑtɪd,-ɪd,Reg,No,-ɪd,5.0
1126,dwarf,dwarfed,dwɔrf,dwɔrft,-t,Reg,No,-t,6.0
1127,wail,wailed,weɪl,weɪld,-d,Reg,Yes,-d,11.0
1128,honour,honoured,ɑnər,ɑnərd,-d,Reg,No,-d,26.0
1129,clerk,clerked,klərk,klərkt,-t,Reg,No,-t,1.0
1130,disillusion,disillusioned,dɪsɪluʒən,dɪsɪluʒənd,-d,Reg,No,-d,3.0
1131,blackmail,blackmailed,blækmeɪl,blækmeɪld,-d,Reg,No,-d,4.0
1132,water,watered,wɔtər,wɔtərd,-d,Reg,Yes,-d,15.0
1133,contemplate,contemplated,kɑntəmpleɪt,kɑntəmpleɪtɪd,-ɪd,Reg,No,-ɪd,14.0
1134,entertain,entertained,ɛntərteɪn,ɛntərteɪnd,-d,Reg,No,-d,19.0
1135,splice,spliced,splaɪs,splaɪst,-t,Reg,No,-t,1.0
1136,address,addressed,ədrɛs,ədrɛst,-t,Reg,No,-t,67.0
1137,decipher,deciphered,dɪsaɪfər,dɪsaɪfərd,-d,Reg,No,-d,2.0
1138,gorge,gorged,gɔrʤ,gɔrʤd,-d,Reg,No,-d,4.0
1139,oversimplify,oversimplified,oʊvərsɪmplɪfaɪ,oʊvərsɪmplɪfaɪd,-d,Reg,No,-d,6.0
1140,change,changed,ʧeɪnʤ,ʧeɪnʤd,-d,Reg,Yes,-d,821.0
1141,wait,waited,weɪt,weɪtɪd,-ɪd,Reg,Yes,-ɪd,228.0
1142,box,boxed,bɑks,bɑkst,-t,Reg,No,-t,3.0
1143,buck,bucked,bʌk,bʌkt,-t,Reg,No,-t,3.0
1144,theorize,theorized,θiəraɪz,θiəraɪzd,-d,Reg,No,-d,1.0
1145,shove,shoved,ʃʌv,ʃʌvd,-d,Reg,No,-d,22.0
1146,institute,instituted,ɪnstɪtut,ɪnstɪtutɪd,-ɪd,Reg,No,-ɪd,8.0
1147,shift,shifted,ʃɪft,ʃɪftɪd,-ɪd,Reg,No,-ɪd,58.0
1149,queue,queued,kju,kjud,-d,Reg,No,-d,3.0
1150,boo,booed,bu,bud,-d,Reg,No,-d,2.0
1151,stencil,stencilled,stɛnsɪl,stɛnsɪld,-d,Reg,No,-d,4.0
1152,bob,bobbed,bɑb,bɑbd,-d,Reg,No,-d,11.0
1153,outflank,outflanked,aʊtflæŋk,aʊtflæŋkt,-t,Reg,No,-t,2.0
1154,reclaim,reclaimed,rikleɪm,rikleɪmd,-d,Reg,No,-d,8.0
1155,burp,burped,bərp,bərpt,-t,Reg,Yes,-t,1.0
1156,emerge,emerged,imərʤ,imərʤd,-d,Reg,No,-d,124.0
1157,love,loved,lʌv,lʌvd,-d,Reg,Yes,-d,284.0
1158,humour,humoured,hjumər,hjumərd,-d,Reg,No,-d,2.0
1159,tweak,tweaked,twik,twikt,-t,Reg,No,-t,2.0
1160,prefer,preferred,prɪfər,prɪfərd,-d,Reg,No,-d,111.0
1161,wreak,wreaked,rik,rikt,-t,Reg,No,-t,1.0
1162,abash,abashed,əbæʃ,əbæʃt,-t,Reg,No,-t,3.0
1163,beget,begot,bɪgɛt,bɪgɑt,ɛ-ɑ,Irreg,No,vowel change,2.0
1164,fake,faked,feɪk,feɪkt,-t,Reg,No,-t,7.0
1165,surmount,surmounted,sərmaʊnt,sərmaʊntɪd,-ɪd,Reg,No,-ɪd,6.0
1166,ossify,ossified,ɑsəfaɪ,ɑsəfaɪd,-d,Reg,No,-d,2.0
1167,peep,peeped,pip,pipt,-t,Reg,No,-t,3.0
1168,market,marketed,mɑrkɪt,mɑrkɪtɪd,-ɪd,Reg,No,-ɪd,10.0
1169,transplant,transplanted,trænsplænt,trænsplæntɪd,-ɪd,Reg,No,-ɪd,5.0
1170,reminisce,reminisced,rɛmənɪs,rɛmənɪst,-t,Reg,No,-t,2.0
1171,miscarry,miscarried,mɪskɛrɪ,mɪskɛrɪd,-d,Reg,No,-d,2.0
1172,concoct,concocted,kənkɑkt,kənkɑktɪd,-ɪd,Reg,No,-ɪd,6.0
1173,prove,proved,pruv,pruvd,-d,Reg,No,-d,231.0
1174,subvert,subverted,səbvərt,səbvərtɪd,-ɪd,Reg,No,-ɪd,1.0
1175,captivate,captivated,kæptɪveɪt,kæptɪveɪtɪd,-ɪd,Reg,No,-ɪd,2.0
1176,dangle,dangled,dæŋgəl,dæŋgəld,-d,Reg,No,-d,9.0
1177,visit,visited,vɪzɪt,vɪzɪtɪd,-ɪd,Reg,Yes,-ɪd,132.0
1178,ravage,ravaged,rævɪʤ,rævɪʤd,-d,Reg,No,-d,8.0
1179,redeploy,redeployed,ridɪplɔɪ,ridɪplɔɪd,-d,Reg,No,-d,1.0
1180,coalesce,coalesced,koʊəlɛs,koʊəlɛst,-t,Reg,No,-t,3.0
1181,slog,slogged,slɑg,slɑgd,-d,Reg,No,-d,1.0
1182,prey,preyed,preɪ,preɪd,-d,Reg,No,-d,3.0
1183,keen,keened,kin,kind,-d,Reg,No,-d,1.0
1184,disembowel,disembowelled,dɪsɛmbaʊl,dɪsɛmbaʊld,-d,Reg,No,-d,2.0
1185,sharpen,sharpened,ʃɑrpən,ʃɑrpənd,-d,Reg,No,-d,16.0
1186,encroach,encroached,ɪnkroʊʧ,ɪnkroʊʧt,-t,Reg,No,-t,2.0
1187,stomach,stomached,stəmək,stəməkt,-t,Reg,No,-t,1.0
1188,dismay,dismayed,dɪsmeɪ,dɪsmeɪd,-d,Reg,No,-d,13.0
1189,cremate,cremated,krimeɪt,krimeɪtɪd,-ɪd,Reg,No,-ɪd,2.0
1190,riot,rioted,raɪət,raɪətɪd,-ɪd,Reg,No,-ɪd,1.0
1191,afford,afforded,əfɔrd,əfɔrdɪd,-ɪd,Reg,No,-ɪd,13.0
1192,muffle,muffled,mʌfəl,mʌfəld,-d,Reg,No,-d,24.0
1193,partake,partook,pɑrteɪk,pɑrtʊk,eɪ-ʊ,Irreg,No,vowel change,1.0
1194,refrain,refrained,rɪfreɪn,rɪfreɪnd,-d,Reg,No,-d,9.0
1195,deign,deigned,deɪn,deɪnd,-d,Reg,No,-d,1.0
1196,drown,drowned,draʊn,draʊnd,-d,Reg,Yes,-d,48.0
1197,degrade,degraded,dɪgreɪd,dɪgreɪdɪd,-ɪd,Reg,No,-ɪd,11.0
1198,crimp,crimped,krɪmp,krɪmpt,-t,Reg,No,-t,2.0
1199,fly,flew,flaɪ,flu,aɪ-u,Irreg,Yes,vowel change,102.0
1200,demolish,demolished,dɪmɑlɪʃ,dɪmɑlɪʃt,-t,Reg,No,-t,19.0
1201,jab,jabbed,ʤæb,ʤæbd,-d,Reg,No,-d,6.0
1202,pretend,pretended,pritɛnd,pritɛndɪd,-ɪd,Reg,Yes,-ɪd,44.0
1203,chastise,chastised,ʧæstaɪz,ʧæstaɪzd,-d,Reg,No,-d,2.0
1204,array,arrayed,əreɪ,əreɪd,-d,Reg,No,-d,3.0
1205,purge,purged,pərʤ,pərʤd,-d,Reg,No,-d,8.0
1206,coexist,coexisted,koʊəgzɪst,koʊəgzɪstɪd,-ɪd,Reg,No,-ɪd,1.0
1207,sour,soured,saʊər,saʊərd,-d,Reg,No,-d,3.0
1208,hope,hoped,hoʊp,hoʊpt,-t,Reg,No,-t,212.0
1209,dispossess,dispossessed,dɪspəzɛs,dɪspəzɛst,-t,Reg,No,-t,2.0
1210,ferry,ferried,fɛri,fɛrid,-d,Reg,No,-d,3.0
1211,arrive,arrived,əraɪv,əraɪvd,-d,Reg,Yes,-d,396.0
1212,pickle,pickled,pɪkəl,pɪkəld,-d,Reg,No,-d,7.0
1213,streak,streaked,strik,strikt,-t,Reg,No,-t,12.0
1214,claim,claimed,kleɪm,kleɪmd,-d,Reg,No,-d,136.0
1215,sandbag,sandbagged,sændbæg,sændbægd,-d,Reg,No,-d,1.0
1216,immortalize,immortalized,ɪmɔrtəlaɪz,ɪmɔrtəlaɪzd,-d,Reg,No,-d,2.0
1217,figure,figured,fɪgjər,fɪgjərd,-d,Reg,Yes,-d,28.0
1218,gratify,gratified,grætəfaɪ,grætəfaɪd,-d,Reg,No,-d,12.0
1219,predict,predicted,prɪdɪkt,prɪdɪktɪd,-ɪd,Reg,No,-ɪd,50.0
1220,chip,chipped,ʧɪp,ʧɪpt,-t,Reg,No,-t,13.0
1221,arise,arose,əraɪz,əroʊz,aɪ-oʊ,Irreg,No,vowel change,65.0
1222,fuck,fucked,fʌk,fʌkt,-t,Reg,No,-t,6.0
1223,sample,sampled,sæmpəl,sæmpəld,-d,Reg,No,-d,4.0
1224,stroke,stroked,stroʊk,stroʊkt,-t,Reg,No,-t,25.0
1225,abort,aborted,əbɔrt,əbɔrtɪd,-ɪd,Reg,No,-ɪd,4.0
1226,refine,refined,rɪfaɪn,rɪfaɪnd,-d,Reg,No,-d,7.0
1227,phrase,phrased,freɪz,freɪzd,-d,Reg,No,-d,4.0
1228,topple,toppled,tɑpəl,tɑpəld,-d,Reg,No,-d,7.0
1229,provoke,provoked,prəvoʊk,prəvoʊkt,-t,Reg,No,-t,35.0
1230,occur,occurred,əkər,əkərd,-d,Reg,No,-d,199.0
1231,craze,crazed,kreɪz,kreɪzd,-d,Reg,No,-d,7.0
1232,purr,purred,pər,pərd,-d,Reg,No,-d,5.0
1233,traipse,traipsed,treɪps,treɪpst,-t,Reg,No,-t,1.0
1234,bankrupt,bankrupted,bæŋkrəpt,bæŋkrəptɪd,-ɪd,Reg,No,-ɪd,1.0
1235,tilt,tilted,tɪlt,tɪltɪd,-ɪd,Reg,No,-ɪd,23.0
1236,decolonize,decolonized,dikɑlənaɪz,dikɑlənaɪzd,-d,Reg,No,-d,1.0
1237,ping,pinged,pɪŋ,pɪŋd,-d,Reg,No,-d,1.0
1238,parch,parched,pɑrʧ,pɑrʧt,-t,Reg,No,-t,10.0
1239,reside,resided,rɪzaɪd,rɪzaɪdɪd,-ɪd,Reg,No,-ɪd,4.0
1240,write,wrote,raɪt,roʊt,aɪ-oʊ,Irreg,Yes,vowel change,575.0
1241,flank,flanked,flæŋk,flæŋkt,-t,Reg,No,-t,13.0
1242,query,queried,kwiri,kwirid,-d,Reg,No,-d,8.0
1243,affix,affixed,æfɪks,æfɪkst,-t,Reg,No,-t,1.0
1244,tile,tiled,taɪl,taɪld,-d,Reg,No,-d,11.0
1245,loathe,loathed,loʊð,loʊðd,-d,Reg,No,-d,11.0
1246,stomp,stomped,stɑmp,stɑmpt,-t,Reg,No,-t,4.0
1247,deteriorate,deteriorated,dɪtɪriəreɪt,dɪtɪriəreɪtɪd,-ɪd,Reg,No,-ɪd,10.0
1248,map,mapped,mæp,mæpt,-t,Reg,No,-t,5.0
1249,levy,levied,lɛvi,lɛvid,-d,Reg,No,-d,6.0
1250,mar,marred,mɑr,mɑrd,-d,Reg,No,-d,7.0
1251,mat,matted,mæt,mætɪd,-ɪd,Reg,No,-ɪd,1.0
1252,hog,hogged,hɑg,hɑgd,-d,Reg,No,-d,1.0
1253,escalate,escalated,ɛskəleɪt,ɛskəleɪtɪd,-ɪd,Reg,No,-ɪd,7.0
1254,dive,dived,daɪv,daɪvd,-d,Reg,No,-d,13.0
1255,spot,spotted,spɑt,spɑtɪd,-ɪd,Reg,No,-ɪd,36.0
1256,bawl,bawled,bɔl,bɔld,-d,Reg,Yes,-d,4.0
1257,rehabilitate,rehabilitated,riəbɪləteɪt,riəbɪləteɪtɪd,-ɪd,Reg,No,-ɪd,3.0
1258,pave,paved,peɪv,peɪvd,-d,Reg,No,-d,4.0
1259,methylate,methylated,mɛθɪleɪt,mɛθɪleɪtɪd,-ɪd,Reg,No,-ɪd,6.0
1260,restate,restated,risteɪt,risteɪtɪd,-ɪd,Reg,No,-ɪd,2.0
1261,date,dated,deɪt,deɪtɪd,-ɪd,Reg,No,-ɪd,29.0
1262,play-act,play-acted,pleɪækt,pleɪæktɪd,-ɪd,Reg,No,-ɪd,1.0
1263,suck,sucked,sʌk,sʌkt,-t,Reg,Yes,-t,34.0
1264,flourish,flourished,flərɪʃ,flərɪʃt,-t,Reg,No,-t,20.0
1265,grow,grew,groʊ,gru,oʊ-u,Irreg,Yes,vowel change,316.0
1266,man,manned,mæn,mænd,-d,Reg,No,-d,10.0
1267,relinquish,relinquished,rɪlɪŋkwɪʃ,rɪlɪŋkwɪʃt,-t,Reg,No,-t,4.0
1268,stress,stressed,strɛs,strɛst,-t,Reg,No,-t,39.0
1269,exhilarate,exhilarated,ɪgzɪləreɪt,ɪgzɪləreɪtɪd,-ɪd,Reg,No,-ɪd,6.0
1270,remember,remembered,rɪmɛmbər,rɪmɛmbərd,-d,Reg,Yes,-d,278.0
1271,correlate,correlated,kɔrəleɪt,kɔrəleɪtɪd,-ɪd,Reg,No,-ɪd,7.0
1272,wiggle,wiggled,wɪgəl,wɪgəld,-d,Reg,No,-d,1.0
1273,amuse,amused,əmjuz,əmjuzd,-d,Reg,No,-d,65.0
1274,purify,purified,pjʊrəfaɪ,pjʊrəfaɪd,-d,Reg,No,-d,4.0
1275,marshal,marshalled,mɑrʃəl,mɑrʃəld,-d,Reg,No,-d,4.0
1276,inform,informed,ɪnfɔrm,ɪnfɔrmd,-d,Reg,No,-d,79.0
1277,switch,switched,swɪʧ,swɪʧt,-t,Reg,Yes,-t,78.0
1278,jail,jailed,ʤeɪl,ʤeɪld,-d,Reg,No,-d,9.0
1279,deposit,deposited,dɪpɑzət,dɪpɑzətɪd,-ɪd,Reg,No,-ɪd,19.0
1280,deceive,deceived,dɪsiv,dɪsivd,-d,Reg,No,-d,19.0
1282,offend,offended,əfɛnd,əfɛndɪd,-ɪd,Reg,No,-ɪd,26.0
1283,crumple,crumpled,krəmpəl,krəmpəld,-d,Reg,Yes,-d,30.0
1284,talk,talked,tɔk,tɔkt,-t,Reg,Yes,-t,340.0
1285,remand,remanded,rɪmænd,rɪmændɪd,-ɪd,Reg,No,-ɪd,5.0
1286,irrigate,irrigated,ɪrəgeɪt,ɪrəgeɪtɪd,-ɪd,Reg,No,-ɪd,5.0
1287,shield,shielded,ʃild,ʃildɪd,-ɪd,Reg,No,-ɪd,8.0
1288,forfeit,forfeited,fɔrfɪt,fɔrfɪtɪd,-ɪd,Reg,No,-ɪd,6.0
1289,blare,blared,blɛr,blɛrd,-d,Reg,No,-d,3.0
1290,feature,featured,fiʧər,fiʧərd,-d,Reg,No,-d,14.0
1291,bead,beaded,bid,bidɪd,-ɪd,Reg,No,-ɪd,5.0
1292,yearn,yearned,jərn,jərnd,-d,Reg,No,-d,7.0
1293,stylize,stylized,staɪlaɪz,staɪlaɪzd,-d,Reg,No,-d,15.0
1294,recoup,recouped,rɪkup,rɪkupt,-t,Reg,No,-t,1.0
1295,terrace,terraced,tɛrəs,tɛrəst,-t,Reg,No,-t,9.0
1296,shake,shook,ʃeɪk,ʃʊk,eɪ-ʊ,Irreg,Yes,vowel change,305.0
1297,horrify,horrified,hɔrəfaɪ,hɔrəfaɪd,-d,Reg,No,-d,35.0
1298,equip,equipped,ɪkwɪp,ɪkwɪpt,-t,Reg,No,-t,27.0
1299,braid,braided,breɪd,breɪdɪd,-ɪd,Reg,No,-ɪd,6.0
1300,worship,worshipped,wərʃɪp,wərʃɪpt,-t,Reg,No,-t,19.0
1301,ennoble,ennobled,ɪnoʊbəl,ɪnoʊbəld,-d,Reg,No,-d,2.0
1302,jig,jigged,ʤɪg,ʤɪgd,-d,Reg,No,-d,1.0
1303,relegate,relegated,rɛləgeɪt,rɛləgeɪtɪd,-ɪd,Reg,No,-ɪd,8.0
1304,police,policed,pəlis,pəlist,-t,Reg,No,-t,1.0
1305,thank,thanked,θæŋk,θæŋkt,-t,Reg,No,-t,37.0
1306,acknowledge,acknowledged,æknɑlɪʤ,æknɑlɪʤd,-d,Reg,No,-d,56.0
1307,spur,spurred,spər,spərd,-d,Reg,No,-d,9.0
1308,suffocate,suffocated,səfəkeɪt,səfəkeɪtɪd,-ɪd,Reg,No,-ɪd,4.0
1309,pervade,pervaded,pərveɪd,pərveɪdɪd,-ɪd,Reg,No,-ɪd,4.0
1310,stroll,strolled,stroʊl,stroʊld,-d,Reg,No,-d,25.0
1311,thump,thumped,θʌmp,θʌmpt,-t,Reg,No,-t,10.0
1312,maim,maimed,meɪm,meɪmd,-d,Reg,No,-d,5.0
1313,mail,mailed,meɪl,meɪld,-d,Reg,No,-d,7.0
1314,petition,petitioned,pətɪʃən,pətɪʃənd,-d,Reg,No,-d,4.0
1315,sate,sated,seɪt,seɪtɪd,-ɪd,Reg,No,-ɪd,3.0
1316,interrelate,interrelated,ɪntərrɪleɪt,ɪntərrɪleɪtɪd,-ɪd,Reg,No,-ɪd,6.0
1317,finance,financed,faɪnæns,faɪnænst,-t,Reg,No,-t,31.0
1318,fling,flung,flɪŋ,flʌŋ,ɪ-ʌ,Irreg,No,vowel change,65.0
1319,nod,nodded,nɑd,nɑdɪd,-ɪd,Reg,Yes,-ɪd,227.0
1320,rake,raked,reɪk,reɪkt,-t,Reg,No,-t,8.0
1321,shatter,shattered,ʃætər,ʃætərd,-d,Reg,No,-d,45.0
1322,introduce,introduced,ɪntrədus,ɪntrədust,-t,Reg,No,-t,199.0
1323,interview,interviewed,ɪntərvju,ɪntərvjud,-d,Reg,No,-d,36.0
1324,conquer,conquered,kɑŋkər,kɑŋkərd,-d,Reg,No,-d,23.0
1325,titillate,titillated,tɪtəleɪt,tɪtəleɪtɪd,-ɪd,Reg,No,-ɪd,1.0
1326,discuss,discussed,dɪskəs,dɪskəst,-t,Reg,No,-t,192.0
1327,possess,possessed,pəzɛs,pəzɛst,-t,Reg,No,-t,76.0
1328,outweigh,outweighed,aʊtweɪ,aʊtweɪd,-d,Reg,No,-d,8.0
1329,administer,administered,ədmɪnɪstər,ədmɪnɪstərd,-d,Reg,No,-d,22.0
1330,execute,executed,ɛksəkjut,ɛksəkjutɪd,-ɪd,Reg,No,-ɪd,33.0
