,word,root,size,ipa_word,diff,verb class,ipa_root,reg
395,whistled,whistle,1,wɪsəld,-d,-d,wɪsəl,Reg
396,wiped,wipe,4,waɪpt,-t,-t,waɪp,Reg
397,wished,wish,3,wɪʃt,-t,-t,wɪʃ,Reg
398,wobbled,wobble,2,wɑbəld,-d,-d,wɑbəl,Reg
399,woke,wake,28,woʊk,eɪ-oʊ,vowel change,weɪk,Irreg
400,won,win,27,wʌn,ɪ-ʌ,vowel change,wɪn,Irreg
401,wondered,wonder,9,wəndərd,-d,-d,wəndər,Reg
402,wore,wear,10,wɔr,ɛ-ɔ,vowel change,wɛr,Irreg
403,worked,work,3,wərkt,-t,-t,wərk,Reg
404,worried,worry,3,wərid,-d,-d,wəri,Reg
405,wound,wind,3,waʊnd,ɪ-ʊ,vowel change,waɪnd,Irreg
406,wrapped,wrap,5,ræpt,-t,-t,ræp,Reg
407,wrote,write,20,roʊt,aɪ-oʊ,vowel change,raɪt,Irreg
408,yawned,yawn,1,jɔnd,-d,-d,jɔn,Reg
409,yelled,yell,4,jɛld,-d,-d,jɛl,Reg
410,zipped,zip,1,zɪpt,-t,-t,zɪp,Reg
